centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
440059,110.98896255057213,0,7024.0,7024.0,,451.0,889.0,,,,,8.857088135314953,0.0,779586.4729552186,13.56651889520182
60031704,272.03628347533356,0,14478.3,14478.3,,1653.0,883.0,,,,,9.580406255732482,0.0,3938622.923040922,15.186341708262043
440171,239.7539649531412,0,3611.0,3611.0,,382.0,242.0,,,,,8.191740021277457,0.0,865751.5674457928,13.671353272769288
60022202,307.43253505915976,0,5952.0,5952.0,,413.0,488.0,,,,,8.691482576512929,0.0,1829838.4486721188,14.419738241506604
7949863,177.60039268599877,0,2228.0,2228.0,,244.0,211.0,39.1,46.9,49.8,,7.708859601047175,0.0,395693.67490440526,12.888395642672613
30031099,76.44434735592833,0,18392.0,18392.0,,1497.0,1555.0,,,,,9.819671066443018,0.0,1405964.436570234,14.156234056986072
7940333,352.5695174934304,0,12271.0,12271.0,,1046.0,1055.0,51.4,64.7,71.8,,9.414994033976548,0.0,4326380.549161884,15.280241849532313
5350220,600.0474415373048,0,12636.0,12636.0,,987.0,1207.0,44.6,54.2,59.2,,9.444305161921976,0.0,7582199.471265384,15.841313883241156
9171773,254.68919746478713,0,12195.7,12195.7,,934.0,1037.0,,,,,9.408838709576676,0.0,3106113.0455213045,14.948882677882064
7576548,724.0235771689499,0,2868.0,2868.0,,145.0,338.0,,,,,7.961370201719511,0.0,2076499.6193205484,14.546194158725477
7583524,184.05346326919957,0,13126.0,13126.0,,1024.0,1195.0,42.5,53.0,58.2,,9.482350275033667,0.0,2415885.7588715134,14.697576551683559
20091385,59.48976249306865,0,1797.5,1797.5,,86.0,165.0,35.7,44.3,49.1,,7.494152089595202,0.0,106932.84808129091,11.579956328402925
20090028,127.9167532501642,0,905.7,905.7,,95.0,80.0,34.4,47.2,54.2,,6.808708125380903,0.0,115854.20341867373,11.66008781248822
1142510,133.59841963343897,0,10566.7,10566.7,,570.0,862.0,,,,,9.26546282576642,0.0,1411694.4207406596,14.160301257707975
60031897,114.42840285132355,0,4325.3,4325.3,,317.0,364.0,,,,,8.372236781122247,0.0,494937.17085282976,13.1121861059248
60031914,179.02634367652877,0,12195.3,12195.3,,879.0,1234.0,51.8,59.7,66.1,,9.408805910593442,0.0,2183279.969038371,14.596338876982808
14015090,58.92521764168383,0,8630.3,8630.3,,588.0,691.0,,,,,9.06303454592982,0.0,508542.30581302394,13.139303688282467
1146997,387.0973535675965,0,43678.0,43678.0,,2054.0,3021.0,,,,,10.684599821824717,0.0,16907638.209125478,16.64327604282488
60031970,328.8539685993792,0,54.0,54.0,,6.0,5.0,28.3,34.2,37.8,,3.9889840465642745,0.0,17758.114304366478,9.78459783435309
60031984,212.8797734455122,0,93.0,93.0,,9.0,16.0,24.1,34.3,39.4,,4.532599493153256,0.0,19797.818930432633,9.893327055586461
14064632,54.66031840696364,0,395.3,395.3,,22.0,46.0,12.7,21.5,26.3,,5.9796449703026395,0.0,21607.22386627273,9.980782976013616
60032107,161.78360149179545,0,100.0,100.0,,12.0,14.0,16.3,24.8,28.8,,4.605170185988092,0.0,16178.360149179545,9.691429834992835
